,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
239,28.0,30.0,32.0,19,,,,,,,,,,,,,,,5
240,29.0,31.0,33.0,0,,,,,,,,,,,,,,,5
241,29.0,31.0,33.0,1,,,,,,,,,,,,,,,5
242,29.0,31.0,33.0,2,,,,,,,,,,,,,,,5
243,29.0,31.0,33.0,3,,,,,,,,,,,,,,,5
244,29.0,31.0,33.0,4,,,,,,,,,,,,,,,5
245,29.0,31.0,33.0,5,,,,,,,,,,,,,,,5
246,29.0,31.0,33.0,6,,,,,,,,,,,,,,,5
247,29.0,31.0,33.0,7,,,,,,,,,,,,,,,5
248,29.0,31.0,33.0,8,,,,,,,,,,,,,,,5
249,29.0,31.0,33.0,9,,,,,,,,,,,,,,,5
250,29.0,31.0,33.0,10,,,,,,,,,,,,,,,5
251,29.0,31.0,33.0,11,,,,,,,,,,,,,,,5
252,29.0,31.0,33.0,12,,,,,,,,,,,,,,,5
253,29.0,31.0,33.0,13,,,,,,,,,,,,,,,5
254,29.0,31.0,33.0,14,,,,,,,,,,,,,,,5
255,29.0,31.0,33.0,15,,,,,,,,,,,,,,,5
256,29.0,31.0,33.0,16,,,,,,,,,,,,,,,5
257,29.0,31.0,33.0,17,,,,,,,,,,,,,,,5
258,29.0,31.0,33.0,18,,,,,,,,,,,,,,,5
259,29.0,31.0,33.0,19,,,,,,,,,,,,,,,5
260,30.0,32.0,34.0,0,,,,,,,,,,,,,,,5
261,30.0,32.0,34.0,1,,,,,,,,,,,,,,,5
262,30.0,32.0,34.0,2,,,,,,,,,,,,,,,5
263,30.0,32.0,34.0,3,,,,,,,,,,,,,,,5
264,30.0,32.0,34.0,4,,,,,,,,,,,,,,,5
265,30.0,32.0,34.0,5,,,,,,,,,,,,,,,5
266,30.0,32.0,34.0,6,,,,,,,,,,,,,,,5
267,30.0,32.0,34.0,7,,,,,,,,,,,,,,,5
268,30.0,32.0,34.0,8,,,,,,,,,,,,,,,5
269,30.0,32.0,34.0,9,,,,,,,,,,,,,,,5
270,30.0,32.0,34.0,10,,,,,,,,,,,,,,,5
271,30.0,32.0,34.0,11,,,,,,,,,,,,,,,5
272,30.0,32.0,34.0,12,,,,,,,,,,,,,,,5
273,30.0,32.0,34.0,13,,,,,,,,,,,,,,,5
