,lineage,s
1048,1048,-0.68103
1049,1049,-3.3793
1050,1050,-1.1663
1051,1051,-2.0314
1052,1052,-2.9551
1053,1053,-3.8997
1054,1054,-0.74234
1055,1055,-2.1536
1056,1056,-3.195
1057,1057,-4.8524
1058,1058,-0.70784
1059,1059,-1.6949
1060,1060,-4.9024
1061,1061,-3.2285
1062,1062,-0.58609
1063,1063,-2.9282
1064,1064,-1.8295
1065,1065,-3.014
1066,1066,-0.1255
1067,1067,-0.13753
1068,1068,-3.6773
1069,1069,-4.3772
1070,1070,-4.3772
1071,1071,-0.18612
1072,1072,-0.54414
1073,1073,-2.0314
1074,1074,-1.9793
1075,1075,-1.1916
1076,1076,-1.1888
1077,1077,-2.8155
1078,1078,-1.4334
1079,1079,-0.81439
1080,1080,-2.1265
1081,1081,-5.7599
1082,1082,-1.3187
1083,1083,-0.021567
1084,1084,-0.33417
1085,1085,-2.9487
1086,1086,-0.76028
1087,1087,-2.2602
1088,1088,-1.1821
1089,1089,-3.3793
1090,1090,-0.54613
1091,1091,-0.99097
1092,1092,-2.5422
1093,1093,-2.9487
1094,1094,-0.20767
1095,1095,-1.0878
1096,1096,-3.6408
1097,1097,-0.22957
1098,1098,-0.98225
1099,1099,-2.9487
1100,1100,-1.3173
1101,1101,-0.6545
1102,1102,-0.90987
1103,1103,-4.901
1104,1104,-4.0995
1105,1105,-2.2807
1106,1106,-1.4185
1107,1107,-0.39862
1108,1108,-2.2807
1109,1109,-5.4119
1110,1110,-1.7972
1111,1111,-2.9487
1112,1112,-0.67129
1113,1113,-0.43649
1114,1114,-0.4349
1115,1115,-1.6949
1116,1116,-3.3793
1117,1117,-4.1967
1118,1118,-3.0981
1119,1119,-1.1584
1120,1120,-2.9282
1121,1121,-2.4674
1122,1122,-4.901
1123,1123,-0.26767
1124,1124,-4.5646
1125,1125,-4.3772
1126,1126,-1.7699
1127,1127,-1.4436
1128,1128,-1.5351
1129,1129,-0.013517
1130,1130,-2.5031
1131,1131,-0.48707
1132,1132,-0.75149
1133,1133,-0.22011
1134,1134,-2.6445
1135,1135,-2.1336
1136,1136,-0.62885
1137,1137,-0.99774
1138,1138,-1.0712
1139,1139,-0.94279
1140,1140,-0.76964
1141,1141,-0.090657
1142,1142,-1.0028
1143,1143,-4.9024
1144,1144,-2.5031
1145,1145,-3.7431
1146,1146,-3.1432
1147,1147,-3.8024
1148,1148,-2.2807
1149,1149,-3.3793
1150,1150,-1.6978
1151,1151,-3.7431
1152,1152,-3.3793
1153,1153,-0.1155
1154,1154,-0.62546
1155,1155,-0.94324
1156,1156,-2.0314
1157,1157,-3.2285
1158,1158,-0.98225
1159,1159,-4.1968
1160,1160,-2.1336
1161,1161,-0.38318
1162,1162,-1.5006
1163,1163,-2.9282
1164,1164,-0.068317
1165,1165,-1.8295
1166,1166,-4.1968
1167,1167,-0.93276
1168,1168,-1.7699
1169,1169,-1.9777
1170,1170,-0.71648
1171,1171,-5.7599
1172,1172,-2.5422
1173,1173,-0.43649
1174,1174,-0.0016996
1175,1175,-4.3772
1176,1176,-1.4328
1177,1177,-1.294
1178,1178,-1.1412
1179,1179,-1.9008
1180,1180,-3.3793
1181,1181,-1.3187
1182,1182,-1.2017
1183,1183,-0.91194
1184,1184,-6.5105
1185,1185,-1.1492
1186,1186,-0.61603
1187,1187,-0.19539
1188,1188,-1.7699
1189,1189,-2.0314
1190,1190,-1.3471
1191,1191,-3.3793
1192,1192,-1.4334
1193,1193,-3.5872
1194,1194,-5.1038
1195,1195,-1.8628
1196,1196,-5.7599
1197,1197,-2.2807
1198,1198,-4.9024
1199,1199,-3.6408
1200,1200,-1.1741
1201,1201,-3.7025
1202,1202,-2.0314
1203,1203,-2.0314
1204,1204,-1.0028
1205,1205,-3.2285
1206,1206,-1.3471
1207,1207,-2.1944
1208,1208,-0.54613
1209,1209,-1.9023
1210,1210,-1.5258
1211,1211,-2.1299
1212,1212,-0.48356
1213,1213,-4.9024
1214,1214,-1.4328
1215,1215,-2.6445
1216,1216,-3.6408
1217,1217,-0.76631
1218,1218,-4.9983
1219,1219,-1.5643
1220,1220,-1.9538
1221,1221,-2.5873
1222,1222,-3.3793
1223,1223,-1.8295
1224,1224,-1.2847
1225,1225,-0.75395
1226,1226,-4.9983
1227,1227,-1.5643
1228,1228,-1.2805
1229,1229,-1.5643
1230,1230,-0.059738
1231,1231,-0.79361
1232,1232,-3.6408
1233,1233,-1.5617
1234,1234,-0.33829
1235,1235,-4.098
1236,1236,-1.0028
1237,1237,-2.9282
1238,1238,-0.24124
1239,1239,-1.3393
1240,1240,-2.8996
1241,1241,-3.2285
1242,1242,-2.3223
1243,1243,-3.6408
1244,1244,-3.2285
1245,1245,-3.2285
1246,1246,-0.082716
1247,1247,-3.7431
1248,1248,-4.643
1249,1249,-0.40805
1250,1250,-3.3793
1251,1251,-3.2285
1252,1252,-0.63895
1253,1253,-0.81439
1254,1254,-0.14312
1255,1255,-0.44442
1256,1256,-3.3793
1257,1257,-2.4313
