,lineage,s
711,711,-0.38942
712,712,-3.3793
713,713,-2.0916
714,714,-2.9282
715,715,-3.6408
716,716,-0.69771
717,717,-0.18137
718,718,-3.0009
719,719,-2.1336
720,720,-3.6408
721,721,-6.5105
722,722,-3.3793
723,723,-2.1299
724,724,-2.9282
725,725,-1.3465
726,726,-3.3793
727,727,-3.0009
728,728,-3.2285
729,729,-2.9487
730,730,-3.814
731,731,-0.58376
732,732,-0.11455
733,733,-0.27091
734,734,-0.79153
735,735,-1.3187
736,736,-1.5459
737,737,-2.9282
738,738,-0.3214
739,739,-2.9282
740,740,-2.6004
741,741,-1.1586
742,742,-2.3768
743,743,-1.5552
744,744,-4.6518
745,745,-0.30499
746,746,-2.9487
747,747,-1.3914
748,748,-0.1231
749,749,-2.1336
750,750,-1.0505
751,751,-0.15747
752,752,-1.8295
753,753,-2.0314
754,754,-3.0765
755,755,-3.9949
756,756,-3.375
757,757,-0.48429
758,758,-2.1299
759,759,-0.18397
760,760,-2.7052
761,761,-0.97058
762,762,-0.4838
763,763,-4.5646
764,764,-3.0009
765,765,-1.5345
766,766,-0.76631
767,767,-0.53026
768,768,-3.3793
769,769,-4.901
770,770,-3.8038
771,771,-1.3359
772,772,-2.49
773,773,-1.3393
774,774,-3.0519
775,775,-4.1505
776,776,-5.7599
777,777,-3.3793
778,778,-0.4657
779,779,-3.3889
780,780,-2.7525
781,781,-1.544
782,782,-5.9511
783,783,-0.059346
784,784,-3.3793
785,785,-0.3214
786,786,-0.72801
787,787,-3.8511
788,788,-4.3772
789,789,-1.7169
790,790,-4.643
791,791,-3.3793
792,792,-3.0524
793,793,-0.38927
794,794,-2.6724
795,795,-3.7431
796,796,-0.58376
797,797,-0.59512
798,798,-3.7431
799,799,-2.3361
800,800,-3.3793
801,801,-1.3393
802,802,-0.93211
803,803,-5.7599
804,804,-5.7599
805,805,-3.3793
806,806,-2.5873
807,807,-6.5105
808,808,-1.7526
809,809,-0.29969
810,810,-0.1858
811,811,-0.38377
812,812,-2.7052
813,813,-5.4119
814,814,-1.1821
815,815,-0.48331
816,816,-3.8038
817,817,-1.375
818,818,-3.293
819,819,-2.9487
820,820,-0.53026
821,821,-2.4334
822,822,-1.5643
823,823,-3.7431
824,824,-1.0504
825,825,-0.73094
826,826,-0.93392
827,827,-2.9487
828,828,-3.3793
829,829,-0.66354
830,830,-0.42359
831,831,-1.5459
832,832,-2.4674
833,833,-0.21737
834,834,-2.9721
835,835,-1.4436
836,836,-1.1678
837,837,-0.20509
838,838,-1.3393
839,839,-3.7538
840,840,-3.3793
841,841,-5.1966
842,842,-1.155
843,843,-2.4313
844,844,-0.7655
845,845,-3.6408
846,846,-0.94324
847,847,-0.59512
848,848,-3.8511
849,849,-0.58041
850,850,-2.1536
851,851,-1.6191
852,852,-1.8501
853,853,-0.63972
854,854,-0.85935
855,855,-1.1252
856,856,-0.58354
857,857,-1.0957
858,858,-4.9983
859,859,-3.6408
860,860,-0.47738
861,861,-4.9983
862,862,-0.1231
863,863,-0.15376
864,864,-1.7169
865,865,-2.9487
866,866,-0.56541
867,867,-1.7972
868,868,-3.5107
869,869,-2.6445
870,870,-2.9282
871,871,-1.5459
872,872,-3.3793
873,873,-7.0497
874,874,-3.3793
875,875,-0.8738
876,876,-2.2602
877,877,-5.4402
878,878,-2.0314
879,879,-4.5646
880,880,-0.30909
881,881,-2.6445
882,882,-1.5403
883,883,-7.0497
884,884,-1.2371
885,885,-0.60385
886,886,-0.36175
887,887,-3.3793
888,888,-2.9487
889,889,-2.2478
890,890,-0.90666
891,891,-1.3393
892,892,-1.5855
893,893,-1.8193
894,894,-4.9024
895,895,-3.2285
896,896,-3.6408
897,897,-2.6324
898,898,-3.293
899,899,-0.86957
900,900,-0.86039
901,901,-3.7431
902,902,-2.9487
903,903,-4.3772
904,904,-6.5105
905,905,-1.2826
906,906,-0.20485
907,907,-2.5422
908,908,-3.3793
909,909,-0.26243
910,910,-3.3793
911,911,-1.2826
912,912,-2.9282
913,913,-2.0314
914,914,-4.9983
915,915,-4.3772
916,916,-1.1412
917,917,-3.3889
918,918,-3.7431
919,919,-7.0497
920,920,-3.8511
921,921,-1.3905
922,922,-3.8024
923,923,-1.8628
924,924,-1.2371
925,925,-0.65775
926,926,-1.0325
927,927,-2.2807
928,928,-1.0099
929,929,-1.0708
930,930,-0.69856
931,931,-2.0314
932,932,-2.9282
933,933,-3.2285
934,934,-0.24556
935,935,-2.6537
936,936,-1.3452
937,937,-1.544
938,938,-0.51816
939,939,-0.53239
940,940,-2.6603
941,941,-4.1126
942,942,-2.8011
943,943,-1.8295
944,944,-0.15411
945,945,-4.643
946,946,-0.33829
947,947,-3.0524
948,948,-3.3793
949,949,-0.0042756
950,950,-3.6408
951,951,-1.7699
952,952,-5.7599
953,953,-6.5105
954,954,-3.6408
955,955,-3.6157
956,956,-4.6613
957,957,-4.3772
958,958,-2.1336
959,959,-4.9983
960,960,-3.7431
961,961,-2.18
962,962,-0.054938
963,963,-5.1038
964,964,-2.5422
965,965,-2.9565
966,966,-2.2807
967,967,-1.3327
968,968,-2.3259
969,969,-3.6408
970,970,-2.6445
971,971,-0.61957
972,972,-3.3793
973,973,-0.42719
974,974,-0.55082
975,975,-0.67129
976,976,-2.9282
977,977,-3.3793
978,978,-1.1065
979,979,-0.98145
980,980,-3.7431
981,981,-0.26634
982,982,-2.8332
983,983,-4.643
984,984,-1.3874
985,985,-1.7988
986,986,-1.8123
987,987,-5.4119
988,988,-0.55082
989,989,-3.7431
990,990,-4.3772
991,991,-0.046177
992,992,-1.0175
993,993,-1.2826
994,994,-1.1584
995,995,-2.9487
996,996,-2.9487
997,997,-3.2285
998,998,-2.9282
999,999,-0.79864
1000,1000,-6.5105
1001,1001,-2.7969
1002,1002,-2.22
1003,1003,-3.8997
1004,1004,-0.73251
1005,1005,-1.9023
1006,1006,-3.3793
1007,1007,-1.3393
1008,1008,-4.1505
1009,1009,-0.21105
1010,1010,-1.3452
1011,1011,-2.0314
1012,1012,-1.035
1013,1013,-2.1336
1014,1014,-0.95525
1015,1015,-2.7052
1016,1016,-1.6949
1017,1017,-0.4349
1018,1018,-2.1299
1019,1019,-2.561
1020,1020,-0.24066
1021,1021,-1.7025
1022,1022,-4.9024
1023,1023,-2.3926
1024,1024,-1.1448
1025,1025,-4.9024
1026,1026,-0.79707
1027,1027,-0.15411
1028,1028,-0.99097
1029,1029,-3.3793
1030,1030,-3.3793
1031,1031,-0.06773
1032,1032,-2.4641
1033,1033,-3.7431
1034,1034,-0.25865
1035,1035,-4.9024
1036,1036,-0.66354
1037,1037,-3.362
1038,1038,-2.9487
1039,1039,-0.40318
1040,1040,-0.75149
1041,1041,-3.293
1042,1042,-4.6613
1043,1043,-5.4119
1044,1044,-0.54176
1045,1045,-2.9282
1046,1046,-4.9024
1047,1047,-2.9487
1048,1048,-2.9487
1049,1049,-1.649
1050,1050,-0.0078679
1051,1051,-3.6408
1052,1052,-0.25337
1053,1053,-3.7431
1054,1054,-1.0313
1055,1055,-0.25337
1056,1056,-2.9487
1057,1057,-3.0009
1058,1058,-2.4641
1059,1059,-0.0078679
1060,1060,-0.90987
1061,1061,-3.5627
1062,1062,-2.9282
1063,1063,-0.42359
1064,1064,-3.7431
1065,1065,-3.2916
1066,1066,-3.3793
1067,1067,-2.18
1068,1068,-1.1781
1069,1069,-3.195
1070,1070,-4.9024
1071,1071,-3.293
1072,1072,-0.33417
1073,1073,-1.2826
1074,1074,-2.7969
1075,1075,-0.45975
1076,1076,-0.27511
1077,1077,-3.0777
1078,1078,-3.8038
1079,1079,-0.34852
1080,1080,-4.9024
1081,1081,-3.1578
1082,1082,-2.9282
1083,1083,-1.8729
1084,1084,-3.2285
1085,1085,-2.2417
1086,1086,-1.0179
1087,1087,-2.6004
1088,1088,-0.27583
1089,1089,-1.6835
1090,1090,-3.4943
1091,1091,-3.6408
1092,1092,-2.1297
1093,1093,-0.47518
1094,1094,-1.3465
1095,1095,-0.045691
1096,1096,-0.94324
1097,1097,-4.1968
1098,1098,-0.93211
1099,1099,-1.3452
1100,1100,-0.53239
1101,1101,-2.6445
1102,1102,-3.293
1103,1103,-3.7431
1104,1104,-3.6408
1105,1105,-0.094947
1106,1106,-3.0702
1107,1107,-7.0497
1108,1108,-0.68081
1109,1109,-2.8011
1110,1110,-3.7431
1111,1111,-3.7431
1112,1112,-1.3914
1113,1113,-1.8579
1114,1114,-1.3327
1115,1115,-1.1888
1116,1116,-5.4656
1117,1117,-1.9153
1118,1118,-0.8573
1119,1119,-4.8524
1120,1120,-3.7431
1121,1121,-0.68574
1122,1122,-0.38377
1123,1123,-0.83059
1124,1124,-0.34497
1125,1125,-2.9487
1126,1126,-2.9282
1127,1127,-0.61603
1128,1128,-1.6168
1129,1129,-0.69856
1130,1130,-2.9487
1131,1131,-1.4059
1132,1132,-6.5105
1133,1133,-1.0313
1134,1134,-0.32619
1135,1135,-1.4436
1136,1136,-1.2861
1137,1137,-2.1299
1138,1138,-2.5422
1139,1139,-0.62885
1140,1140,-0.60148
1141,1141,-3.2786
1142,1142,-2.9282
1143,1143,-0.21556
1144,1144,-2.845
1145,1145,-3.814
1146,1146,-0.11455
1147,1147,-0.80658
1148,1148,-1.1663
1149,1149,-2.8011
1150,1150,-4.9983
1151,1151,-1.8501
1152,1152,-2.9282
1153,1153,-2.1299
1154,1154,-0.57946
1155,1155,-2.9282
1156,1156,-2.9282
1157,1157,-2.7052
1158,1158,-0.88471
1159,1159,-0.19287
1160,1160,-0.98145
1161,1161,-5.4119
1162,1162,-1.028
1163,1163,-1.8501
1164,1164,-1.055
1165,1165,-1.4424
1166,1166,-0.59006
1167,1167,-1.1888
1168,1168,-3.8308
1169,1169,-0.36321
1170,1170,-2.4334
1171,1171,-1.4334
1172,1172,-2.9487
1173,1173,-2.0314
1174,1174,-2.9487
1175,1175,-1.7699
1176,1176,-3.6408
1177,1177,-6.5642
1178,1178,-4.3772
1179,1179,-1.7988
1180,1180,-2.3375
1181,1181,-0.20284
1182,1182,-0.53955
1183,1183,-3.8038
1184,1184,-4.3772
1185,1185,-0.30625
1186,1186,-1.1781
1187,1187,-3.6408
1188,1188,-2.2417
1189,1189,-6.5105
1190,1190,-4.8524
1191,1191,-3.7431
1192,1192,-2.5422
1193,1193,-2.0314
1194,1194,-0.1152
1195,1195,-3.3793
1196,1196,-0.22011
1197,1197,-1.3187
1198,1198,-0.98225
1199,1199,-3.2285
1200,1200,-3.2285
1201,1201,-0.56503
1202,1202,-0.52421
1203,1203,-3.4287
1204,1204,-1.0106
1205,1205,-0.54414
1206,1206,-0.31033
1207,1207,-2.9487
1208,1208,-0.73094
1209,1209,-0.94689
1210,1210,-1.7699
1211,1211,-3.8511
1212,1212,-2.3015
1213,1213,-3.7431
1214,1214,-0.40318
1215,1215,-2.4867
1216,1216,-3.3793
1217,1217,-2.9282
1218,1218,-4.643
1219,1219,-3.3793
1220,1220,-0.4349
1221,1221,-2.5422
1222,1222,-2.1536
1223,1223,-2.6445
1224,1224,-3.3793
1225,1225,-2.7038
1226,1226,-3.7431
1227,1227,-2.803
1228,1228,-7.0497
1229,1229,-4.3772
1230,1230,-0.51202
1231,1231,-1.3452
1232,1232,-3.014
1233,1233,-2.9282
1234,1234,-0.73094
1235,1235,-3.2285
1236,1236,-0.55082
1237,1237,-0.19287
1238,1238,-3.6408
1239,1239,-1.8295
1240,1240,-1.6191
1241,1241,-6.5105
1242,1242,-3.7431
1243,1243,-3.2285
1244,1244,-4.9024
1245,1245,-3.5627
1246,1246,-1.055
1247,1247,-2.9282
1248,1248,-2.1336
1249,1249,-0.43593
1250,1250,-3.0871
1251,1251,-2.1536
1252,1252,-1.7699
1253,1253,-2.5422
1254,1254,-2.9282
1255,1255,-2.0963
1256,1256,-0.40693
1257,1257,-2.0781
1258,1258,-0.87796
1259,1259,-2.8469
1260,1260,-5.4119
1261,1261,-0.85517
1262,1262,-1.6949
1263,1263,-0.36357
1264,1264,-3.3793
1265,1265,-2.7052
1266,1266,-3.7431
1267,1267,-3.8038
1268,1268,-2.2807
1269,1269,-0.53239
1270,1270,-0.60759
1271,1271,-1.4328
1272,1272,-2.5422
1273,1273,-1.028
1274,1274,-0.38592
1275,1275,-1.4137
1276,1276,-2.5422
1277,1277,-3.6408
1278,1278,-2.7678
1279,1279,-7.0497
1280,1280,-1.8191
1281,1281,-1.0011
1282,1282,-2.2807
1283,1283,-2.9282
1284,1284,-1.5855
1285,1285,-0.99097
1286,1286,-2.8156
1287,1287,-1.0759
1288,1288,-2.9487
1289,1289,-1.7699
1290,1290,-0.65088
1291,1291,-0.53026
1292,1292,-1.6692
1293,1293,-4.1763
1294,1294,-2.9282
1295,1295,-0.24066
1296,1296,-0.088214
1297,1297,-3.3793
1298,1298,-0.98266
1299,1299,-3.8997
1300,1300,-1.4329
1301,1301,-5.9511
1302,1302,-1.035
1303,1303,-1.4032
1304,1304,-2.2807
1305,1305,-3.3793
1306,1306,-4.1505
1307,1307,-2.5422
1308,1308,-3.3889
1309,1309,-1.7655
1310,1310,-0.1155
1311,1311,-0.90987
1312,1312,-1.6191
1313,1313,-1.3187
1314,1314,-4.6613
1315,1315,-1.2429
1316,1316,-0.18612
1317,1317,-4.1505
1318,1318,-2.9282
1319,1319,-3.3793
1320,1320,-2.1299
1321,1321,-1.0871
1322,1322,-0.79864
1323,1323,-0.11463
1324,1324,-5.4119
1325,1325,-3.2285
1326,1326,-0.53516
1327,1327,-1.9052
1328,1328,-2.5045
1329,1329,-2.2807
1330,1330,-1.3914
1331,1331,-2.3259
1332,1332,-2.9487
1333,1333,-0.45975
1334,1334,-2.1536
