,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
283,14.0,18.0,22.0,3,26650.30333159214,24025.30644630891,29777.677793536437,9,1
284,14.0,18.0,22.0,4,24475.994050356752,22837.413417602143,28322.9114801618,9,1
285,14.0,18.0,22.0,5,29248.582409528764,25149.544807601895,31684.885687359278,9,1
286,14.0,18.0,22.0,6,26650.30333159214,23334.765452638196,29364.26343437756,9,1
287,14.0,18.0,22.0,7,26650.30333159214,24642.226601350718,30554.859312461394,9,1
288,14.0,18.0,22.0,8,26650.30333159214,22578.912588098305,28477.8063837602,9,1
289,14.0,18.0,22.0,9,29248.582409528764,24967.00804946595,32075.09778703691,9,1
290,14.0,18.0,22.0,10,29248.582409528764,25129.467773837798,31924.55315757066,9,1
291,14.0,18.0,22.0,11,26650.30333159214,23345.973924215203,29638.821098509175,9,1
292,14.0,18.0,22.0,12,26650.30333159214,25274.987989408528,31326.89963037608,9,1
293,14.0,18.0,22.0,13,24475.994050356752,21429.028268759084,27551.81979782655,9,1
294,14.0,18.0,22.0,14,26650.30333159214,23309.341941859144,29575.18862153889,9,1
295,14.0,18.0,22.0,15,26650.30333159214,23423.83093772104,29061.68550635189,9,1
296,14.0,18.0,22.0,16,26650.30333159214,22730.988528583202,28831.7131493356,9,1
297,14.0,18.0,22.0,17,26650.30333159214,24408.360517550616,31150.588723611992,9,1
298,14.0,18.0,22.0,18,26650.30333159214,23475.12031191926,29791.38273073281,9,1
299,14.0,18.0,22.0,19,26650.30333159214,23157.28618159993,29209.73874699722,9,1
300,15.0,19.0,23.0,0,39602.98429117548,33405.046375281905,41396.54256625492,9,1
301,15.0,19.0,23.0,1,39602.98429117548,31777.623133118126,40364.006658461214,9,1
302,15.0,19.0,23.0,2,39602.98429117548,32211.131327571606,41261.7372733361,9,1
303,15.0,19.0,23.0,3,39602.98429117548,33405.046375281905,41446.37192431676,9,1
304,15.0,19.0,23.0,4,39602.98429117548,33472.48661833279,42487.683750122196,9,1
305,15.0,19.0,23.0,5,39602.98429117548,34132.26540050325,42952.0876057412,9,1
306,15.0,19.0,23.0,6,39602.98429117548,36045.0068208625,45539.8489994463,9,1
307,15.0,19.0,23.0,7,39602.98429117548,31779.436811500498,40363.821178333834,9,1
308,15.0,19.0,23.0,8,39602.98429117548,34262.81884262056,42468.285753251344,9,1
309,15.0,19.0,23.0,9,39602.98429117548,34353.16026989054,43533.67781931341,9,1
310,15.0,19.0,23.0,10,39602.98429117548,32460.080804575296,40828.39001423344,9,1
311,15.0,19.0,23.0,11,39602.98429117548,33065.55568599737,42229.29222280897,9,1
312,15.0,19.0,23.0,12,39602.98429117548,33939.517404265935,43397.83323249676,9,1
313,15.0,19.0,23.0,13,39602.98429117548,31977.547687387767,39806.24793652405,9,1
314,15.0,19.0,23.0,14,39602.98429117548,33106.10429793514,42246.17257824766,9,1
315,15.0,19.0,23.0,15,31947.067483495997,30075.405397070204,37838.09137925221,9,1
316,15.0,19.0,23.0,16,39602.98429117548,33442.05984911229,42204.654213992464,9,1
