,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
357,20.0,22.0,24.0,57,,,,,,,,,,,,,,,5,1
358,20.0,22.0,24.0,58,,,,,,,,,,,,,,,5,1
359,20.0,22.0,24.0,59,,,,,,,,,,,,,,,5,1
360,20.0,22.0,24.0,60,,,,,,,,,,,,,,,5,1
361,20.0,22.0,24.0,61,,,,,,,,,,,,,,,5,1
362,20.0,22.0,24.0,62,,,,,,,,,,,,,,,5,1
363,20.0,22.0,24.0,63,,,,,,,,,,,,,,,5,1
364,20.0,22.0,24.0,64,,,,,,,,,,,,,,,5,1
365,20.0,22.0,24.0,65,,,,,,,,,,,,,,,5,1
366,20.0,22.0,24.0,66,,,,,,,,,,,,,,,5,1
367,20.0,22.0,24.0,67,,,,,,,,,,,,,,,5,1
368,20.0,22.0,24.0,68,,,,,,,,,,,,,,,5,1
369,20.0,22.0,24.0,69,,,,,,,,,,,,,,,5,1
370,20.0,22.0,24.0,70,,,,,,,,,,,,,,,5,1
371,20.0,22.0,24.0,71,,,,,,,,,,,,,,,5,1
372,20.0,22.0,24.0,72,,,,,,,,,,,,,,,5,1
373,20.0,22.0,24.0,73,,,,,,,,,,,,,,,5,1
374,20.0,22.0,24.0,74,,,,,,,,,,,,,,,5,1
375,20.0,22.0,24.0,75,,,,,,,,,,,,,,,5,1
376,20.0,22.0,24.0,76,,,,,,,,,,,,,,,5,1
377,20.0,22.0,24.0,77,,,,,,,,,,,,,,,5,1
378,20.0,22.0,24.0,78,,,,,,,,,,,,,,,5,1
379,20.0,22.0,24.0,79,,,,,,,,,,,,,,,5,1
380,20.0,22.0,24.0,80,,,,,,,,,,,,,,,5,1
381,20.0,22.0,24.0,81,,,,,,,,,,,,,,,5,1
382,20.0,22.0,24.0,82,,,,,,,,,,,,,,,5,1
383,20.0,22.0,24.0,83,,,,,,,,,,,,,,,5,1
384,20.0,22.0,24.0,84,,,,,,,,,,,,,,,5,1
385,20.0,22.0,24.0,85,,,,,,,,,,,,,,,5,1
386,20.0,22.0,24.0,86,,,,,,,,,,,,,,,5,1
387,20.0,22.0,24.0,87,,,,,,,,,,,,,,,5,1
388,20.0,22.0,24.0,88,,,,,,,,,,,,,,,5,1
389,20.0,22.0,24.0,89,,,,,,,,,,,,,,,5,1
390,20.0,22.0,24.0,90,,,,,,,,,,,,,,,5,1
391,20.0,22.0,24.0,91,,,,,,,,,,,,,,,5,1
392,20.0,22.0,24.0,92,,,,,,,,,,,,,,,5,1
393,20.0,22.0,24.0,93,,,,,,,,,,,,,,,5,1
394,20.0,22.0,24.0,94,,,,,,,,,,,,,,,5,1
395,20.0,22.0,24.0,95,,,,,,,,,,,,,,,5,1
